OrderID,OrderDate,CustomerID,CustomerName,CustomerEmail,ProductID,ProductName,Category,Quantity,UnitPrice,Region,Country
1000,2024-12-04,C004,Amy Walker,john16@ford.net,P005,T-shirt,Apparel,2,25,South,UK
1001,2024-11-26,C014,Lisa Savage,zross@marshall-cameron.com,P009,Notebook,Stationery,1,5,West,Australia
1002,2025-01-03,C012,Jessica Fitzgerald,lweiss@yahoo.com,P004,Apple Watch,Electronics,2,399,North,USA
1002,2025-03-14,C092,Carlos Lewis,sscott@yahoo.com,P009,Notebook,Stationery,4,5,South,UK
1003,2025-04-23,C036,Jordan Jones,mariawhite@parker.biz,P001,iPhone 14,Electronics,2,999,West,Australia
1004,2025-02-09,C020,John Harris,victordillon@jones.biz,P004,Apple Watch,Electronics,3,399,North,USA
1005,2025-03-05,C013,Rachel Paul,jessica95@clark-hill.biz,P006,Samsung Galaxy,Electronics,3,899,East,Canada
1005,2024-09-20,C094,Brian Carey,kathykeller@gmail.com,P008,Blender,Appliances,5,70,North,USA
1005,2024-11-26,C049,Derrick Stanley,lindaevans@yahoo.com,P002,AirPods Pro,Electronics,5,199,East,Canada
1005,2024-09-30,C080,Meghan Hull,brandon87@coleman.com,P006,Samsung Galaxy,Electronics,5,899,South,UK
1005,2025-04-01,C006,Mr. Allen Kelley,jonesrichard@simmons.com,P004,Apple Watch,Electronics,3,399,North,USA
1005,2024-12-07,C013,Mary Holt,karnold@yahoo.com,P007,Yoga Mat,Fitness,3,30,West,Australia
1005,2024-07-11,C047,Amanda Avery,shannonhunter@banks.info,P003,Nike Shoes,Footwear,3,150,East,Canada
1006,2024-12-16,C035,Benjamin Harrington,hallronald@davidson-bowers.com,P002,AirPods Pro,Electronics,5,199,South,UK
1006,2024-06-10,C032,Pamela Ferguson,ohogan@hotmail.com,P003,Nike Shoes,Footwear,4,150,West,Australia
1007,2025-02-14,C082,Robin Martinez,mmyers@gmail.com,P009,Notebook,Stationery,2,5,East,Canada
1007,2024-10-16,C100,Ashley Martinez,fwilson@yahoo.com,P001,iPhone 14,Electronics,2,999,North,USA
1007,2024-08-24,C052,Shannon Matthews,hpena@love-williams.com,P005,T-shirt,Apparel,1,25,South,UK
1007,2025-01-17,C073,Jason Williams,charlestorres@perez.org,P006,Samsung Galaxy,Electronics,2,899,West,Australia
1008,2024-06-05,C083,Katrina Shelton,rlee@robinson.biz,P008,Blender,Appliances,2,70,East,Canada
1009,2024-10-17,C096,Allen Parker,saracardenas@keller.com,P009,Notebook,Stationery,5,5,East,Canada
1009,2024-05-13,C055,Sharon Burke,fowlerheidi@gmail.com,P010,Backpack,Accessories,4,45,East,Canada
1010,2024-10-04,C018,Johnathan Guerrero,matthewhunt@gardner.com,P009,Notebook,Stationery,4,5,North,USA
1010,2025-03-24,C015,Justin Gonzales,davidsmith@lewis.com,P003,Nike Shoes,Footwear,2,150,West,Australia
1010,2024-12-22,C050,Joseph Gaines,upruitt@garza-morris.com,P007,Yoga Mat,Fitness,5,30,West,Australia
1010,2025-04-30,C071,Caroline Wood,jeffery02@terry-garcia.com,P001,iPhone 14,Electronics,1,999,East,Canada
1010,2024-06-26,C044,Derrick Farmer,christopherwilson@yahoo.com,P002,AirPods Pro,Electronics,3,199,West,Australia
1011,2024-12-28,C001,Stacy Carpenter,wwiggins@jones-shepherd.biz,P005,T-shirt,Apparel,5,25,South,UK
1011,2024-12-15,C014,Anthony Rojas,jstephens@hernandez-wilson.com,P005,T-shirt,Apparel,5,25,South,UK
1012,2024-08-08,C098,David Green,alexrussell@meza.info,P003,Nike Shoes,Footwear,5,150,North,USA
1012,2024-07-29,C063,Kelly Mccullough,michelle27@morgan.info,P001,iPhone 14,Electronics,1,999,East,Canada
1012,2024-09-05,C040,Joseph Jordan,davidsonmason@gmail.com,P004,Apple Watch,Electronics,1,399,South,UK
1012,2024-12-18,C011,Mary Garcia,huntpaul@gmail.com,P002,AirPods Pro,Electronics,4,199,North,USA
1012,2024-09-17,C069,John Murphy,lawsonjoshua@gmail.com,P003,Nike Shoes,Footwear,2,150,West,Australia
1012,2025-03-27,C022,Jesse Shaw,laura04@torres-smith.com,P005,T-shirt,Apparel,5,25,West,Australia
1012,2025-01-06,C070,Cassandra Wade DDS,pcruz@cunningham-pena.com,P004,Apple Watch,Electronics,3,399,West,Australia
1012,2025-01-25,C084,Mark Robinson,dancox@yahoo.com,P006,Samsung Galaxy,Electronics,4,899,West,Australia
1013,2024-06-01,C029,Sharon Wilson,owenaaron@thomas.com,P002,AirPods Pro,Electronics,3,199,North,USA
1013,2024-11-08,C030,Christina Hansen,lorrainebrown@yahoo.com,P010,Backpack,Accessories,2,45,North,USA
1014,2024-07-03,C081,Jon Miller,mhenderson@hotmail.com,P001,iPhone 14,Electronics,2,999,North,USA
1014,2024-11-09,C043,Sandra Miller,fsmith@hotmail.com,P002,AirPods Pro,Electronics,5,199,South,UK
1015,2025-05-01,C063,Kristina Pierce,vwalker@delgado-huang.org,P004,Apple Watch,Electronics,5,399,South,UK
1015,2024-07-05,C074,Kelly Edwards,ufletcher@nguyen-anderson.info,P010,Backpack,Accessories,4,45,South,UK
1015,2024-09-17,C053,Anthony Jackson,pstevens@henderson.biz,P004,Apple Watch,Electronics,1,399,North,USA
1015,2025-01-02,C046,David Snow,soniacameron@yahoo.com,P007,Yoga Mat,Fitness,4,30,West,Australia
1015,2024-07-08,C007,Amy Arnold,sferguson@hotmail.com,P002,AirPods Pro,Electronics,1,199,West,Australia
1015,2024-06-10,C014,Carly Matthews,sthompson@newton-roberts.com,P004,Apple Watch,Electronics,2,399,South,UK
1015,2025-02-02,C018,Susan Warren,anthonywatkins@gmail.com,P007,Yoga Mat,Fitness,2,30,East,Canada
1016,2024-11-19,C010,Heather Mullen,mwhite@hotmail.com,P008,Blender,Appliances,5,70,North,USA
1017,2024-06-26,C070,Ernest Lewis,zfisher@ward.com,P001,iPhone 14,Electronics,1,999,South,UK
1018,2024-07-10,C063,Jennifer Barker,omar40@johnson.info,P008,Blender,Appliances,2,70,West,Australia
1018,2025-04-01,C022,Allen Hall,garciaderek@yahoo.com,P007,Yoga Mat,Fitness,1,30,West,Australia
1019,2025-04-04,C059,Terri Park,nealjoshua@cole-nguyen.net,P005,T-shirt,Apparel,4,25,West,Australia
1020,2024-09-15,C038,Jennifer Mason,sean66@hotmail.com,P004,Apple Watch,Electronics,1,399,North,USA
1020,2024-08-28,C008,Angela Butler,whiteemma@chavez.info,P001,iPhone 14,Electronics,5,999,West,Australia
1020,2024-12-19,C068,Jasmine Stephenson,xbond@morgan.com,P003,Nike Shoes,Footwear,1,150,North,USA
1020,2024-11-02,C009,Gregory Davis,michael77@yahoo.com,P010,Backpack,Accessories,1,45,South,UK
1021,2024-09-14,C073,Michael Sutton,imitchell@franco.com,P004,Apple Watch,Electronics,5,399,North,USA
1021,2025-04-03,C054,James Lawrence,adamadams@mccarthy.com,P010,Backpack,Accessories,5,45,East,Canada
1021,2024-09-23,C027,Angela Bentley,emma41@cervantes-young.com,P006,Samsung Galaxy,Electronics,2,899,East,Canada
1022,2024-08-12,C086,Ebony Marshall,brandoncampbell@miller-meadows.com,P005,T-shirt,Apparel,4,25,East,Canada
1022,2024-06-27,C010,Adrienne Snow,vjohnson@jensen.com,P001,iPhone 14,Electronics,4,999,North,USA
1023,2024-08-05,C028,Sheila Hamilton,tabitha55@yahoo.com,P009,Notebook,Stationery,3,5,South,UK
1023,2024-10-16,C009,Kimberly Gonzalez,saraporter@walsh.com,P004,Apple Watch,Electronics,3,399,East,Canada
1024,2025-02-06,C070,Daniel Parker,crawfordrobert@carlson.com,P005,T-shirt,Apparel,5,25,North,USA
1024,2024-08-08,C071,Kenneth Ryan PhD,davisandrew@hill.com,P005,T-shirt,Apparel,1,25,South,UK
1025,2025-03-27,C014,Melissa Graham,john74@hotmail.com,P009,Notebook,Stationery,2,5,East,Canada
1026,2025-01-27,C027,Jerry Terry,bmahoney@gmail.com,P006,Samsung Galaxy,Electronics,2,899,East,Canada
1026,2024-11-13,C033,Thomas Griffin,bjefferson@durham.com,P001,iPhone 14,Electronics,1,999,West,Australia
1026,2024-11-20,C006,Michael Lambert,conniegomez@wallace-evans.net,P001,iPhone 14,Electronics,3,999,South,UK
1026,2024-07-11,C034,Sara Bush,cshort@gmail.com,P003,Nike Shoes,Footwear,4,150,West,Australia
1026,2025-02-01,C015,Jason Reilly,brandon62@reed.com,P002,AirPods Pro,Electronics,2,199,North,USA
1026,2024-08-29,C075,Troy Montgomery,roy52@hotmail.com,P009,Notebook,Stationery,2,5,West,Australia
